id,soc_broad_id,occ_code,title,description
511,279,43-9061,"Office Clerks, General","Perform duties too varied and diverse to be classified in any specific
office clerical occupation, requiring knowledge of office systems and
procedures. Clerical duties may be assigned in accordance with the office
procedures of individual establishments and may include a combination of
answering telephones, bookkeeping, typing or word processing, office
machine operation, and filing."
512,280,43-9071,"Office Machine Operators, Except Computer","Operate one or more of a variety of office machines, such as photocopying,
photographic, and duplicating machines, or other office machines. Excludes
""Billing and Posting Clerks"" (43-3021) and ""Mail Clerks and Mail Machine
Operators, Except Postal Service"" (43-9051)."
513,281,43-9081,Proofreaders and Copy Markers,"Read transcript or proof type setup to detect and mark for correction any
grammatical, typographical, or compositional errors. Excludes workers whose
primary duty is editing copy. Includes proofreaders of braille."
514,282,43-9111,Statistical Assistants,"Compile and compute data according to statistical formulas for use in
statistical studies. May perform actuarial computations and compile charts
and graphs for use by actuaries. Includes actuarial clerks."
515,283,43-9199,"Office and Administrative Support Workers, All Other",All office and administrative support workers not listed separately.
516,284,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Directly supervise and coordinate the activities of agricultural, forestry,
aquacultural, and related workers. Excludes ""First-Line Supervisors of
Landscaping, Lawn Service, and Groundskeeping Workers"" (37-1012)."
517,285,45-2011,Agricultural Inspectors,"Inspect agricultural commodities, processing equipment, and facilities, and
fish and logging operations, to ensure compliance with regulations and laws
governing health, quality, and safety."
518,286,45-2021,Animal Breeders,"Select and breed animals according to their genealogy, characteristics, and
offspring. May require knowledge of artificial insemination techniques and
equipment use. May involve keeping records on heats, birth intervals, or
pedigree. Excludes ""Animal Scientists"" (19-1011) whose primary function is
research and ""Animal Caretakers"" (39-2021) who may occasionally breed
animals as part of their other caretaking duties."
519,287,45-2041,"Graders and Sorters, Agricultural Products","Grade, sort, or classify unprocessed food and other agricultural products
by size, weight, color, or condition. Excludes ""Agricultural Inspectors""
(45-2011)."
520,288,45-2091,Agricultural Equipment Operators,"Drive and control equipment to support agricultural activities such as
tilling soil; planting, cultivating, and harvesting crops; feeding and
herding livestock; or removing animal waste. May perform tasks such as crop
baling or hay bucking. May operate stationary equipment to perform
post-harvest tasks such as husking, shelling, threshing, and ginning."
521,288,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Manually plant, cultivate, and harvest vegetables, fruits, nuts,
horticultural specialties, and field crops. Use hand tools, such as
shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties
may include tilling soil and applying fertilizers; transplanting, weeding,
thinning, or pruning crops; applying pesticides; or cleaning, grading,
sorting, packing, and loading harvested products. May construct trellises,
repair fences and farm buildings, or participate in irrigation activities.
Excludes ""Pesticide Handlers, Sprayers, and Applicators, Vegetation""
(37-3012), ""Graders and Sorters, Agricultural Products"" (45-2041), and
""Forest, Conservation, and Logging Workers"" (45-4011 through 45-4029)."
522,288,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Attend to live farm, ranch, open range or aquacultural animals that may
include cattle, sheep, swine, goats, horses and other equines, poultry,
rabbits, finfish, shellfish, and bees. Attend to animals produced for
animal products, such as meat, fur, skins, feathers, eggs, milk, and honey.
Duties may include feeding, watering, herding, grazing, milking,
castrating, branding, de-beaking, weighing, catching, and loading animals.
May maintain records on animals; examine animals to detect diseases and
injuries; assist in birth deliveries; and administer medications,
vaccinations, or insecticides as appropriate. May clean and maintain animal
housing areas. Includes workers who shear wool from sheep and collect eggs
in hatcheries."
523,288,45-2099,"Agricultural Workers, All Other",All agricultural workers not listed separately.
524,289,45-4011,Forest and Conservation Workers,"Under supervision, perform manual labor necessary to develop, maintain, or
protect areas such as forests, forested areas, woodlands, wetlands, and
rangelands through such activities as raising and transporting seedlings;
combating insects, pests, and diseases harmful to plant life; and building
structures to control water, erosion, and leaching of soil. Includes
forester aides, seedling pullers, tree planters, and gatherers of nontimber
forestry products such as pine straw."
525,290,45-4021,Fallers,"Use axes or chainsaws to fell trees using knowledge of tree characteristics
and cutting techniques to control direction of fall and minimize tree
damage."
526,290,45-4022,Logging Equipment Operators,"Drive logging tractor or wheeled vehicle equipped with one or more
accessories, such as bulldozer blade, frontal shear, grapple, logging arch,
cable winches, hoisting rack, or crane boom, to fell tree; to skid, load,
unload, or stack logs; or to pull stumps or clear brush. Includes operating
stand-alone logging machines, such as log chippers. Logging truck drivers
are included in ""Heavy and Tractor-Trailer Truck Drivers"" (53-3032)."
527,290,45-4023,Log Graders and Scalers,"Grade logs or estimate the marketable content or value of logs or pulpwood
in sorting yards, millpond, log deck, or similar locations. Inspect logs
for defects or measure logs to determine volume. Excludes ""Buyers and
Purchasing Agents, Farm Products"" (13-1021)."
528,290,45-4029,"Logging Workers, All Other",All logging workers not listed separately.
529,291,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,"Directly supervise and coordinate activities of construction or extraction
workers."
